"Outs"	"Bases"	"Mean"	"Season"	"Prob"	"Prob2"
"292"	0	"“023”"	1.97	2006	0.855	0.585
"293"	0	"“100”"	0.93	2006	0.432	0.256
"294"	0	"“103”"	1.82	2006	0.869	0.433
"295"	0	"“120”"	1.58	2006	0.635	0.419
"296"	0	"“123”"	2.38	2006	0.87	0.592
"297"	1	"“000”"	0.29	2006	0.173	0.073
"298"	1	"“003”"	0.96	2006	0.646	0.178
"299"	1	"“020”"	0.73	2006	0.416	0.179
"300"	1	"“023”"	1.46	2006	0.695	0.421
"301"	1	"“100”"	0.56	2006	0.281	0.163
"302"	1	"“103”"	1.17	2006	0.638	0.271
"303"	1	"“120”"	0.96	2006	0.42	0.268
"304"	1	"“123”"	1.67	2006	0.676	0.428
"305"	2	"“000”"	0.11	2006	0.074	0.024
"306"	2	"“003”"	0.38	2006	0.261	0.078
"307"	2	"“020”"	0.36	2006	0.236	0.082
"308"	2	"“023”"	0.59	2006	0.263	0.215
"309"	2	"“100”"	0.24	2006	0.134	0.07
"310"	2	"“103”"	0.5	2006	0.279	0.127
"311"	2	"“120”"	0.45	2006	0.235	0.124
"312"	2	"“123”"	0.82	2006	0.342	0.249
"313"	0	"“000”"	0.53	2007	0.286	0.134
"314"	0	"“003”"	1.42	2007	0.843	0.296
"315"	0	"“020”"	1.19	2007	0.641	0.293
"316"	0	"“023”"	2.12	2007	0.891	0.625
"317"	0	"“100”"	0.93	2007	0.435	0.258
"318"	0	"“103”"	1.84	2007	0.866	0.444
"319"	0	"“120”"	1.52	2007	0.622	0.411
"320"	0	"“123”"	2.38	2007	0.865	0.592
"321"	1	"“000”"	0.28	2007	0.167	0.068
"322"	1	"“003”"	0.98	2007	0.662	0.181
"323"	1	"“020”"	0.73	2007	0.422	0.182
"324"	1	"“023”"	1.44	2007	0.701	0.431
"325"	1	"“100”"	0.54	2007	0.276	0.155
"326"	1	"“103”"	1.21	2007	0.646	0.283
"327"	1	"“120”"	0.93	2007	0.411	0.254
"328"	1	"“123”"	1.62	2007	0.692	0.426
"329"	2	"“000”"	0.11	2007	0.071	0.024
"330"	2	"“003”"	0.4	2007	0.272	0.079
"331"	2	"“020”"	0.35	2007	0.23	0.079
"332"	2	"“023”"	0.63	2007	0.285	0.23
"333"	2	"“100”"	0.24	2007	0.132	0.07
"334"	2	"“103”"	0.52	2007	0.28	0.134
"335"	2	"“120”"	0.46	2007	0.234	0.124
"336"	2	"“123”"	0.79	2007	0.331	0.242
"337"	0	"“000”"	0.52	2008	0.278	0.13
"338"	0	"“003”"	1.5	2008	0.851	0.321
"339"	0	"“020”"	1.15	2008	0.626	0.28
"340"	0	"“023”"	2.02	2008	0.84	0.597
"341"	0	"“100”"	0.9	2008	0.421	0.25
"342"	0	"“103”"	1.77	2008	0.836	0.421
"343"	0	"“120”"	1.54	2008	0.64	0.416
"344"	0	"“123”"	2.33	2008	0.86	0.602
"345"	1	"“000”"	0.28	2008	0.163	0.067
"346"	1	"“003”"	0.96	2008	0.656	0.17
"347"	1	"“020”"	0.7	2008	0.407	0.168
"348"	1	"“023”"	1.42	2008	0.689	0.412
"349"	1	"“100”"	0.53	2008	0.269	0.153
"350"	1	"“103”"	1.16	2008	0.626	0.273
"351"	1	"“120”"	0.93	2008	0.419	0.257
"352"	1	"“123”"	1.6	2008	0.67	0.417
"353"	2	"“000”"	0.11	2008	0.071	0.024
"354"	2	"“003”"	0.36	2008	0.252	0.065
"355"	2	"“020”"	0.33	2008	0.22	0.072
"356"	2	"“023”"	0.6	2008	0.27	0.212
"357"	2	"“100”"	0.23	2008	0.128	0.067
"358"	2	"“103”"	0.49	2008	0.265	0.125
"359"	2	"“120”"	0.46	2008	0.23	0.124
"360"	2	"“123”"	0.8	2008	0.328	0.232
"361"	0	"“000”"	0.51	2009	0.279	0.129
"362"	0	"“003”"	1.31	2009	0.839	0.265
"363"	0	"“020”"	1.14	2009	0.624	0.271
"364"	0	"“023”"	2.02	2009	0.847	0.597
"365"	0	"“100”"	0.88	2009	0.418	0.247
"366"	0	"“103”"	1.77	2009	0.86	0.421
"367"	0	"“120”"	1.49	2009	0.617	0.408
"368"	0	"“123”"	2.31	2009	0.869	0.588
"369"	1	"“000”"	0.28	2009	0.164	0.066
"370"	1	"“003”"	0.97	2009	0.652	0.179
"371"	1	"“020”"	0.69	2009	0.405	0.167
"372"	1	"“023”"	1.41	2009	0.682	0.4
"373"	1	"“100”"	0.53	2009	0.268	0.154
"374"	1	"“103”"	1.21	2009	0.642	0.277
"375"	1	"“120”"	0.92	2009	0.414	0.26
"376"	1	"“123”"	1.57	2009	0.664	0.403
"377"	2	"“000”"	0.11	2009	0.071	0.022
"378"	2	"“003”"	0.38	2009	0.261	0.078
"379"	2	"“020”"	0.32	2009	0.217	0.067
"380"	2	"“023”"	0.56	2009	0.255	0.195
"381"	2	"“100”"	0.22	2009	0.126	0.064
"382"	2	"“103”"	0.53	2009	0.292	0.134
"383"	2	"“120”"	0.45	2009	0.227	0.123
"384"	2	"“123”"	0.74	2009	0.315	0.217
"385"	0	"“000”"	0.49	2010	0.268	0.123
"386"	0	"“003”"	1.38	2010	0.832	0.284
"387"	0	"“020”"	1.1	2010	0.607	0.266
"388"	0	"“023”"	1.97	2010	0.848	0.58
"389"	0	"“100”"	0.87	2010	0.42	0.239
"390"	0	"“103”"	1.8	2010	0.852	0.419
"391"	0	"“120”"	1.42	2010	0.616	0.387
"392"	0	"“123”"	2.37	2010	0.863	0.598
"393"	1	"“000”"	0.26	2010	0.156	0.063
"394"	1	"“003”"	0.93	2010	0.641	0.171
"395"	1	"“020”"	0.68	2010	0.399	0.163
"396"	1	"“023”"	1.38	2010	0.68	0.392
"397"	1	"“100”"	0.51	2010	0.261	0.146
"398"	1	"“103”"	1.11	2010	0.637	0.252
"399"	1	"“120”"	0.88	2010	0.404	0.245
"400"	1	"“123”"	1.51	2010	0.658	0.386
"401"	2	"“000”"	0.1	2010	0.068	0.023
"402"	2	"“003”"	0.35	2010	0.246	0.065
"403"	2	"“020”"	0.32	2010	0.214	0.069
"404"	2	"“023”"	0.59	2010	0.261	0.218
"405"	2	"“100”"	0.23	2010	0.129	0.067
"406"	2	"“103”"	0.47	2010	0.269	0.119
"407"	2	"“120”"	0.45	2010	0.23	0.124
"408"	2	"“123”"	0.78	2010	0.332	0.232
"409"	0	"“000”"	0.47	2011	0.264	0.118
"410"	0	"“003”"	1.45	2011	0.865	0.322
"411"	0	"“020”"	1.06	2011	0.601	0.253
"412"	0	"“023”"	1.93	2011	0.848	0.58
"413"	0	"“100”"	0.84	2011	0.41	0.233
"414"	0	"“103”"	1.75	2011	0.848	0.427
"415"	0	"“120”"	1.41	2011	0.603	0.387
"416"	0	"“123”"	2.17	2011	0.848	0.59
"417"	1	"“000”"	0.25	2011	0.155	0.061
"418"	1	"“003”"	0.94	2011	0.655	0.17
"419"	1	"“020”"	0.65	2011	0.392	0.153
"420"	1	"“023”"	1.34	2011	0.645	0.389
"421"	1	"“100”"	0.5	2011	0.262	0.14
"422"	1	"“103”"	1.15	2011	0.651	0.259
"423"	1	"“120”"	0.87	2011	0.399	0.244
"424"	1	"“123”"	1.47	2011	0.624	0.385
"425"	2	"“000”"	0.1	2011	0.066	0.021
"426"	2	"“003”"	0.32	2011	0.233	0.057
"427"	2	"“020”"	0.31	2011	0.21	0.065
"428"	2	"“023”"	0.54	2011	0.245	0.192
"429"	2	"“100”"	0.22	2011	0.125	0.064
"430"	2	"“103”"	0.49	2011	0.272	0.127
"431"	2	"“120”"	0.42	2011	0.218	0.115
"432"	2	"“123”"	0.76	2011	0.314	0.226
"433"	0	"“000”"	0.48	2012	0.267	0.12
"434"	0	"“003”"	1.35	2012	0.817	0.268
"435"	0	"“020”"	1.11	2012	0.614	0.264
"436"	0	"“023”"	1.96	2012	0.851	0.586
"437"	0	"“100”"	0.84	2012	0.413	0.239
"438"	0	"“103”"	1.71	2012	0.846	0.417
"439"	0	"“120”"	1.4	2012	0.6	0.377
"440"	0	"“123”"	2.14	2012	0.859	0.562
"441"	1	"“000”"	0.26	2012	0.155	0.062
"442"	1	"“003”"	0.95	2012	0.644	0.168
"443"	1	"“020”"	0.66	2012	0.393	0.161
"444"	1	"“023”"	1.34	2012	0.653	0.387
"445"	1	"“100”"	0.51	2012	0.267	0.148
"446"	1	"“103”"	1.11	2012	0.617	0.258
"447"	1	"“120”"	0.89	2012	0.401	0.249
"448"	1	"“123”"	1.54	2012	0.647	0.403
"449"	2	"“000”"	0.1	2012	0.067	0.022
"450"	2	"“003”"	0.35	2012	0.247	0.069
"451"	2	"“020”"	0.32	2012	0.219	0.072
"452"	2	"“023”"	0.55	2012	0.248	0.189
"453"	2	"“100”"	0.23	2012	0.129	0.07
"454"	2	"“103”"	0.5	2012	0.277	0.128
"455"	2	"“120”"	0.41	2012	0.217	0.112
"456"	2	"“123”"	0.72	2012	0.302	0.212
"457"	0	"“000”"	0.46	2013	0.258	0.115
"458"	0	"“003”"	1.31	2013	0.81	0.259
"459"	0	"“020”"	1.09	2013	0.599	0.263
"460"	0	"“023”"	2	2013	0.872	0.614
"461"	0	"“100”"	0.81	2013	0.397	0.23
"462"	0	"“103”"	1.8	2013	0.849	0.437
"463"	0	"“120”"	1.38	2013	0.595	0.376
"464"	0	"“123”"	2.18	2013	0.836	0.567
"465"	1	"“000”"	0.24	2013	0.149	0.058
"466"	1	"“003”"	0.91	2013	0.651	0.169
"467"	1	"“020”"	0.62	2013	0.378	0.145
"468"	1	"“023”"	1.36	2013	0.676	0.397
"469"	1	"“100”"	0.49	2013	0.26	0.143
"470"	1	"“103”"	1.11	2013	0.627	0.265
"471"	1	"“120”"	0.84	2013	0.4	0.233
"472"	1	"“123”"	1.56	2013	0.662	0.411
"473"	2	"“000”"	0.09	2013	0.063	0.02
"474"	2	"“003”"	0.34	2013	0.252	0.06
"475"	2	"“020”"	0.3	2013	0.207	0.064
"476"	2	"“023”"	0.54	2013	0.246	0.197
"477"	2	"“100”"	0.21	2013	0.122	0.063
"478"	2	"“103”"	0.48	2013	0.273	0.118
"479"	2	"“120”"	0.4	2013	0.214	0.11
"480"	2	"“123”"	0.71	2013	0.302	0.225
