pitcher balls strikes plate_x plate_z pitch_type stand
593958 0 0 0.7703 3.6167 FF R
545333 2 2 -0.0408 1.6034 CH R
506433 1 1 -0.7461 2.6694 FF R
544931 0 0 -1.0935 3.0411 FT L
545333 1 2 2.6186 1.876 SL R
506433 0 1 0.831 0.1108 FF R
544931 2 2 -1.3207 2.0933 FT R
506433 0 0 0.1129 1.5761 FF R
544931 2 2 -0.0296 0.9858 CH R
545333 1 1 1.0154 2.674 FC R
506433 3 1 1.1082 0.8706 SL R
544931 1 2 2.0466 1.0682 SL R
545333 1 0 -0.7111 2.3923 FF R
545333 0 0 0.3021 3.9357 FF R
506433 2 1 -0.9744 1.3411 SL R
544931 1 2 0.3154 2.7982 FT R
506433 2 0 0.1425 1.47 SL R
544931 0 2 -1.3748 0.8469 CH R
545333 3 2 0.0659 3.211 FT R
544931 0 1 0.2372 2.2986 FT R
545333 2 2 1.8295 -1.3433 CH R
506433 1 0 -1.1812 2.5483 SL R
506433 0 0 -0.7644 0.6339 FF R
545333 1 2 1.3023 1.8358 SL R
544931 0 0 0.6539 2.0714 FF R
545333 1 1 0.8507 1.6862 SL R
506433 3 2 -0.6767 3.6335 FC L
544931 0 2 -0.2998 2.8517 CU L
506433 3 2 0.2381 3.045 SL L
544931 0 1 0.2511 2.2784 SL L
545333 0 1 0.2278 3.8595 SL R
545333 0 0 0.7151 1.8691 FC R
506433 2 2 1.2553 2.3308 FF L
544931 0 0 -0.0308 1.5866 FF L
545333 1 2 0.7819 2.7735 SL R
506433 2 2 0.4444 1.0071 SL L
545333 1 1 -0.4719 3.9182 FT R
506433 2 1 -0.1442 1.4589 SL L
506433 2 0 -0.7133 2.1953 SL L
545333 1 0 0.5648 3.2388 FC R
545333 0 0 0.3454 1.3133 FF R
506433 1 0 -0.722 3.531 FF L
506433 0 0 0.8863 2.4481 FF L
593958 3 2 1.0197 1.0394 CH R
593958 2 2 1.0188 0.945 CH R
593958 1 2 -0.5169 1.0321 SL R
593958 1 1 0.6001 1.6684 FC R
593958 0 1 1.7489 2.6009 FC R
544931 1 1 -0.4301 1.7359 CH L
544931 1 0 -0.2508 1.796 CH L
593958 0 0 -0.0784 2.1554 FF R
593958 2 2 0.3029 2.1923 FC L
544931 0 0 -0.8929 3.3482 FT L
544931 3 1 0.2567 1.4029 CU R
593958 2 1 -0.3415 2.2315 FF L
593958 1 1 0.7889 1.1618 FT L
544931 2 1 1.831 2.7941 FF R
544931 2 0 -0.4111 1.508 CH R
