Name Team G PA HR R RBI SB BB_Pct K_Pct ISO BABIP AVG OBP SLG wOBA wRC EV BsR Off Def WAR playerid
"Jake Cronenworth" Padres 54 192 4 26 20 3 9.4 15.6 0.192 0.324 0.285 0.354 0.477 0.356 125 89.8 -1 5.2 2.7 1.4 18036
"Didi Gregorius" Phillies 60 237 10 34 40 3 6.3 11.8 0.205 0.285 0.284 0.339 0.488 0.348 117 83.7 0.4 5.4 2.8 1.4 6012
"Adalberto Mondesi" Royals 59 233 6 33 22 24 4.7 30 0.16 0.35 0.256 0.294 0.416 0.305 89 90.6 3.6 0.5 3.4 1.4 13769
"Christian Vazquez" "Red Sox" 47 189 7 22 23 4 8.5 22.8 0.173 0.341 0.283 0.344 0.457 0.346 115 88.4 -2.7 0.8 8.3 1.4 9774
"Cavan Biggio" "Blue Jays" 59 265 8 41 28 6 15.5 23 0.182 0.311 0.25 0.375 0.432 0.355 124 87.4 0.8 8.5 -1.5 1.4 19252
"Whit Merrifield" Royals 60 265 9 38 30 12 4.5 12.5 0.157 0.295 0.282 0.325 0.44 0.329 106 86.1 0 2 0 1.3 11281
"Kolten Wong" Cardinals 53 208 1 26 16 5 9.6 14.4 0.061 0.311 0.265 0.35 0.326 0.305 92 86.5 2.2 0 4.5 1.3 12532
"Michael Brantley" Astros 46 187 5 24 22 2 9.1 15 0.176 0.336 0.3 0.364 0.476 0.362 135 88.7 -1.6 6.5 0.7 1.3 4106
"Starling Marte" "- - -" 61 250 6 36 27 10 4.8 16.4 0.149 0.319 0.281 0.34 0.43 0.333 109 87 2.1 5 0.7 1.3 9241
"Jurickson Profar" Padres 56 202 7 28 25 7 7.4 13.9 0.15 0.293 0.278 0.343 0.428 0.335 111 87.2 2.7 5.6 0.7 1.3 10815
"Ramon Laureano" Athletics 54 222 6 27 25 2 10.8 26.1 0.153 0.27 0.213 0.338 0.366 0.315 103 87.7 0.7 1.5 4 1.3 17128
"Robbie Grossman" Athletics 51 192 8 23 23 8 10.9 19.8 0.241 0.267 0.241 0.344 0.482 0.351 127 89 2 8.5 -2 1.3 5254
"Maikel Franco" Royals 60 243 8 23 38 1 6.6 15.6 0.179 0.298 0.278 0.321 0.457 0.329 106 86.7 -0.7 1.1 1.1 1.3 12179
"Cody Bellinger" Dodgers 56 243 12 33 30 6 12.3 17.3 0.216 0.245 0.239 0.333 0.455 0.337 114 89.3 0.5 4.9 -0.9 1.2 15998
"Brian Anderson" Marlins 59 229 11 27 38 0 9.6 28.8 0.21 0.323 0.255 0.345 0.465 0.348 122 87.2 0.6 7.1 -0.9 1.2 18289
"Marcus Semien" Athletics 53 236 7 28 23 4 10.6 21.2 0.152 0.26 0.223 0.305 0.374 0.299 92 86.2 1.8 -0.6 4.4 1.2 12533
