Num HR HRyr HRgm Date BatTeam HomeAway DefTeam Pitcher Score Inn Out RoB RBI BOP Pos WPA bWE "Play Description" Player Birthdate Age
480 480 7 1 1966-06-23 NYY NA BAL "Jim Palmer" "behind 1-3" "b 8" 1 --- 1 3 8 0.113 21% "Home Run (Deep RF)" Mantle 10-20-1931 34.67488021902806
481 481 8 1 1966-06-28 NYY @ BOS "Jose Santiago" "tied 0-0" "t 1" 1 1-- 2 3 7 0.175 68% "Home Run (Deep RF); Richardson Scores" Mantle 10-20-1931 34.68856947296372
482 482 9 2 1966-06-28 NYY @ BOS "Jose Santiago" "behind 2-4" "t 8" 2 --- 1 3 7 0.084 15% "Home Run (Deep LF)" Mantle 10-20-1931 34.68856947296372
483 483 10 1 1966-06-29 NYY @ BOS "Rollie Sheldon" "tied 0-0" "t 1" 0 12- 3 3 7 0.182 77% "Home Run (LF-CF); Tresh Scores; Richardson Scores" Mantle 10-20-1931 34.691307323750856
484 484 11 2 1966-06-29 NYY @ BOS "Rollie Sheldon" "ahead 4-0" "t 3" 0 --- 1 3 7 0.046 91% "Home Run (Deep RF)" Mantle 10-20-1931 34.691307323750856
485 485 12 1 1966-07-01 NYY @ WSA "Phil Ortega" "tied 0-0" "t 1" 2 --- 1 3 8 0.113 58% "Home Run (Deep CF)" Mantle 10-20-1931 34.69678302532512
486 486 13 1 1966-07-02 NYY @ WSA "Mike McCormick" "behind 2-3" "t 6" 2 --- 1 3 8 0.185 45% "Home Run (Deep CF)" Mantle 10-20-1931 34.69952087611225
487 487 14 2 1966-07-02 NYY @ WSA "Mike McCormick" "behind 3-10" "t 9" 1 --- 1 3 8 0 0% "Home Run (Deep RF)" Mantle 10-20-1931 34.69952087611225
488 488 15 1 1966-07-03 NYY @ WSA "Pete Richert" "tied 0-0" "t 1" 2 --- 1 3 8 0.113 58% "Home Run (Deep RF)" Mantle 10-20-1931 34.70225872689939
489 489 16 1 1966-07-07 NYY NA BOS "Don McMahon" "tied 2-2" "b 9" 2 1-3 3 3 8 0.374 100% "Home Run (Deep RF); Gibbs Scores; Richardson Scores" Mantle 10-20-1931 34.71321013004791
490 490 17 1 1966-07-08 NYY NA WSA "Dick Bosman" "behind 3-5" "b 3" 0 --- 1 3 8 0.12 41% "Home Run (Deep LF)" Mantle 10-20-1931 34.71594798083505
491 491 18 1 1966-07-08 NYY NA WSA "Jim Hannan" "behind 0-4" "b 3" 1 --- 1 3 8 0.064 18% "Home Run (Deep CF)" Mantle 10-20-1931 34.71594798083505
492 492 19 1 1966-07-23 NYY NA CAL "Marcelino Lopez" "behind 0-3" "b 3" 1 123 4 3 8 0.351 66% "Home Run (Deep RF); Boyer Scores; Downing Scores; Richardson Scores" Mantle 10-20-1931 34.757015742642025
493 493 20 1 1966-07-24 NYY NA CAL "George Brunet" "tied 0-0" "b 1" 2 --- 1 3 8 0.118 63% "Home Run (Deep RF)" Mantle 10-20-1931 34.75975359342916
494 494 21 1 1966-07-29 NYY @ CHW "Bruce Howard" "tied 0-0" "t 4" 1 --- 1 3 8 0.151 63% "Home Run (Deep RF)" Mantle 10-20-1931 34.77344284736482
495 495 22 1 1966-08-14 NYY NA CLE "Jack Kralick" "ahead 1-0" "b 3" 2 --- 1 3 8 0.114 77% "Home Run (Deep LF)" Mantle 10-20-1931 34.81724845995893
496 496 23 1 1966-08-26 NYY NA DET "Hank Aguirre" "behind 4-5" "b 9" 0 1-- 2 9 PH 0.699 100% "Home Run (Deep RF); Boyer Scores" Mantle 10-20-1931 34.85010266940452
497 497 1 1 1967-04-29 NYY NA CAL "Jack Sanford" "tied 1-1" "b 3" 2 1-- 2 3 3 0.248 77% "Home Run (Deep CF); Talbot Scores" Mantle 10-20-1931 35.52361396303901
498 498 2 1 1967-04-30 NYY NA CAL "Minnie Rojas" "tied 1-1" "b 10" 1 12- 3 3 3 0.311 100% "Home Run (Deep RF); Howser Scores; Tresh Scores" Mantle 10-20-1931 35.526351813826146
499 499 3 1 1967-05-03 NYY @ MIN "Dave Boswell" "tied 0-0" "t 1" 2 --- 1 3 3 0.11 57% "Home Run (Deep RF)" Mantle 10-20-1931 35.53456536618754
500 500 4 1 1967-05-14 NYY NA BAL "Stu Miller" "ahead 5-4" "b 7" 2 --- 1 3 3 0.109 90% "Home Run (Deep RF)" Mantle 10-20-1931 35.564681724846
501 501 5 1 1967-05-17 NYY NA CLE "Steve Hargan" "behind 6-8" "b 7" 2 --- 1 3 3 0.121 24% "Home Run (Deep RF)" Mantle 10-20-1931 35.572895277207394
502 502 6 1 1967-05-19 NYY @ DET "Mickey Lolich" "behind 1-4" "t 8" 1 --- 1 3 3 0.045 8% "Home Run (Deep LF)" Mantle 10-20-1931 35.578370978781656
503 503 7 1 1967-05-20 NYY @ DET "Denny McLain" "behind 0-1" "t 4" 1 --- 1 3 3 0.143 47% "Home Run (Deep CF)" Mantle 10-20-1931 35.58110882956879
504 504 8 1 1967-05-21 NYY @ DET "Earl Wilson" "behind 2-7" "t 7" 1 -2- 2 3 3 0.039 7% "Home Run (Deep RF); Tresh Scores" Mantle 10-20-1931 35.58384668035592
505 505 9 1 1967-05-24 NYY @ BAL "Steve Barber" "tied 0-0" "t 3" 2 1-- 2 3 3 0.242 72% "Home Run (Deep CF); Clarke Scores" Mantle 10-20-1931 35.592060232717316
506 506 10 1 1967-05-27 NYY @ CLE "Sonny Siebert" "tied 2-2" "t 6" 0 --- 1 3 3 0.184 68% "Home Run (Deep RF)" Mantle 10-20-1931 35.60027378507871
507 507 11 1 1967-05-28 NYY @ CLE "Gary Bell" "ahead 2-0" "t 6" 0 --- 1 3 3 0.08 89% "Home Run (Deep RF)" Mantle 10-20-1931 35.60301163586585
508 508 12 1 1967-06-05 NYY NA WSA "Darold Knowles" "tied 2-2" "b 8" 0 --- 1 3 3 0.295 89% "Home Run (Deep RF)" Mantle 10-20-1931 35.624914442162904
509 509 13 1 1967-06-15 NYY @ WSA "Frank Bertaina" "tied 0-0" "t 6" 2 --- 1 3 3 0.209 66% "Home Run (Deep LF)" Mantle 10-20-1931 35.65229295003422
510 510 14 1 1967-06-24 NYY NA DET "Fred Gladding" "tied 3-3" "b 9" 0 --- 1 3 3 0.386 100% "Home Run (Deep RF)" Mantle 10-20-1931 35.676933607118414
511 511 15 1 1967-07-04 NYY @ MIN "Mudcat Grant" "behind 0-4" "t 3" 2 --- 1 3 3 0.056 15% "Home Run (Deep LF)" Mantle 10-20-1931 35.70431211498973
512 512 16 2 1967-07-04 NYY @ MIN "Mudcat Grant" "behind 1-7" "t 8" 1 1-- 2 3 3 0.012 2% "Home Run (Deep RF); Gibbs Scores" Mantle 10-20-1931 35.70431211498973
513 513 17 1 1967-07-16 NYY NA BAL "Bill Dillman" "tied 0-0" "b 2" 0 --- 1 4 3 0.125 67% "Home Run (Deep RF)" Mantle 10-20-1931 35.73716632443532
514 514 18 1 1967-07-22 NYY @ DET "Earl Wilson" "ahead 1-0" "t 3" 2 --- 1 3 3 0.117 71% "Home Run (Deep RF)" Mantle 10-20-1931 35.75359342915811
515 515 19 1 1967-07-25 NYY NA MIN "Jim Kaat" "behind 0-1" "b 9" 2 --- 1 3 3 0.492 53% "Home Run (Deep LF)" Mantle 10-20-1931 35.761806981519506
516 516 20 1 1967-08-07 NYY @ CAL "Minnie Rojas" "ahead 2-1" "t 8" 0 1-- 2 3 3 0.138 95% "Home Run; White Scores" Mantle 10-20-1931 35.79739904175222
517 517 21 1 1967-09-02 NYY NA WSA "Bob Priddy" "behind 0-1" "b 8" 1 --3 2 8 PH 0.455 88% "Home Run (Deep RF); Robinson Scores" Mantle 10-20-1931 35.86858316221766
518 518 22 1 1967-09-03 NYY NA WSA "Dick Bosman" "behind 2-5" "b 8" 2 --- 1 3 3 0.039 7% "Home Run (Deep RF)" Mantle 10-20-1931 35.87132101300479
519 519 1 1 1968-04-18 NYY @ CAL "Jim McGlothlin" "tied 0-0" "t 5" 2 1-- 2 3 3 0.309 78% "Home Run (CF-RF); Monbouquette Scores" Mantle 10-20-1931 36.49555099247091
520 520 2 1 1968-04-24 NYY @ OAK "Jim Nash" "tied 0-0" "t 1" 2 --- 1 3 3 0.128 59% "Home Run" Mantle 10-20-1931 36.511978097193705
521 521 3 1 1968-04-26 NYY NA DET "Earl Wilson" "ahead 3-0" "b 7" 2 1-- 2 3 3 0.034 99% "Home Run (Deep RF); Gibbs Scores" Mantle 10-20-1931 36.51745379876797
522 522 4 1 1968-05-06 NYY NA CLE "Sam McDowell" "tied 0-0" "b 1" 1 1-- 2 3 3 0.209 76% "Home Run (Deep RF); White Scores" Mantle 10-20-1931 36.544832306639286
523 523 5 1 1968-05-30 NYY NA WSA "Joe Coleman" "tied 0-0" "b 1" 1 1-- 2 3 3 0.209 76% "Home Run (Deep RF); White Scores" Mantle 10-20-1931 36.610540725530456
524 524 6 2 1968-05-30 NYY NA WSA "Bob Humphreys" "ahead 4-1" "b 5" 0 --- 1 3 3 0.039 96% "Home Run (Deep RF)" Mantle 10-20-1931 36.610540725530456
525 525 7 1 1968-06-07 NYY NA CAL "Jim McGlothlin" "behind 0-3" "b 1" 1 -2- 2 3 3 0.165 39% "Home Run (Deep RF); White Scores" Mantle 10-20-1931 36.63244353182751
526 526 8 1 1968-06-11 NYY NA CHW "Joe Horlen" "behind 3-8" "b 6" 0 1-- 2 3 3 0.062 11% "Home Run (Deep RF); White Scores" Mantle 10-20-1931 36.64339493497605
527 527 9 1 1968-06-16 NYY @ CAL "Clyde Wright" "ahead 2-1" "t 8" 1 1-- 2 3 3 0.156 95% "Home Run (Deep LF); White Scores" Mantle 10-20-1931 36.6570841889117
528 528 10 1 1968-06-22 NYY @ MIN "Jim Kaat" "tied 0-0" "t 1" 2 --- 1 3 3 0.117 58% "Home Run (Deep LF)" Mantle 10-20-1931 36.6735112936345
529 529 11 1 1968-06-29 NYY NA OAK "Blue Moon Odom" "behind 0-2" "b 6" 0 1-- 2 3 3 0.308 56% "Home Run; White Scores" Mantle 10-20-1931 36.69267624914442
530 530 12 1 1968-08-10 NYY NA MIN "Jim Merritt" "behind 0-2" "b 4" 0 --- 1 3 3 0.133 38% "Home Run (Deep RF)" Mantle 10-20-1931 36.80766598220397
531 531 13 2 1968-08-10 NYY NA MIN "Jim Merritt" "behind 1-3" "b 9" 0 --- 1 3 3 0.089 15% "Home Run (Deep LF)" Mantle 10-20-1931 36.80766598220397
532 532 14 1 1968-08-12 NYY @ CAL "George Brunet" "behind 0-1" "t 6" 0 1-- 2 3 3 0.337 70% "Home Run (CF-RF); White Scores" Mantle 10-20-1931 36.813141683778234
533 533 15 1 1968-08-15 NYY @ OAK "Blue Moon Odom" "behind 0-4" "t 6" 0 1-3 3 3 3 0.157 30% "Home Run (Deep RF); Tresh Scores; Gibbs Scores" Mantle 10-20-1931 36.82135523613963
534 534 16 1 1968-08-22 NYY @ MIN "Jim Merritt" "behind 0-3" "t 9" 0 --- 1 9 PH 0.034 6% "Home Run (Deep LF)" Mantle 10-20-1931 36.84052019164955
535 535 17 1 1968-09-19 NYY @ DET "Denny McLain" "behind 1-6" "t 8" 1 --- 1 3 3 0.009 2% "Home Run (Deep RF)" Mantle 10-20-1931 36.917180013689254
536 536 18 1 1968-09-20 NYY NA BOS "Jim Lonborg" "behind 0-1" "b 3" 2 --- 1 3 3 0.156 51% "Home Run (Deep RF)" Mantle 10-20-1931 36.91991786447639
1 1 1 1 1952-04-19 BSN @ PHI "Ken Heintzelman" "behind 3-7" "t 8" 1 -23 3 6 5 0.111 19% "Home Run (Deep RF); Torgeson Scores; Marshall Scores" Matthews 10-13-1931 20.517453798767967
2 2 2 1 1952-04-23 BSN @ NYG "Hoyt Wilhelm" "behind 3-8" "t 6" 2 1-- 2 7 5 0.059 9% "Home Run (Deep RF); Cooper Scores" Matthews 10-13-1931 20.528405201916495
3 3 3 1 1952-04-30 BSN @ PIT "Murry Dickson" "behind 0-2" "t 5" 2 --- 1 6 5 0.109 30% "Home Run (Deep RF)" Matthews 10-13-1931 20.54757015742642
4 4 4 1 1952-05-04 BSN @ STL "Gerry Staley" "tied 0-0" "t 1" 1 --- 1 2 5 0.105 58% "Home Run (Deep RF)" Matthews 10-13-1931 20.55852156057495
5 5 5 1 1952-05-04 BSN @ STL "Cliff Chambers" "ahead 4-1" "t 9" 2 --- 1 2 5 NA NA NA Matthews 10-13-1931 20.55852156057495
6 6 6 1 1952-05-10 BSN NA NYG "Jim Hearn" "behind 1-2" "b 4" 0 --- 1 2 5 0.144 56% "Home Run (Deep RF)" Matthews 10-13-1931 20.57494866529774
7 7 7 1 1952-05-13 BSN NA PIT "Howie Pollet" "behind 0-1" "b 1" 1 --- 1 2 5 0.111 52% "Home Run (Deep RF)" Matthews 10-13-1931 20.583162217659137
8 8 8 1 1952-06-01 BSN @ CIN "Harry Perkowski" "ahead 5-1" "t 4" 0 --- 1 3 5 0.042 93% "Home Run" Matthews 10-13-1931 20.635181382614647
9 9 9 1 1952-06-06 BSN @ CHC "Turk Lown" "behind 1-7" "t 9" 0 --- 1 3 5 0.003 1% "Home Run (Deep RF)" Matthews 10-13-1931 20.648870636550303
10 10 10 1 1952-06-15 BSN NA CHC "Paul Minner" "ahead 3-0" "b 6" 1 --- 1 6 5 0.04 96% "Home Run (Deep RF)" Matthews 10-13-1931 20.673511293634498
11 11 11 1 1952-06-19 BSN NA CIN "Bubba Church" "tied 0-0" "b 2" 1 --- 1 7 5 0.118 64% "Home Run (Deep RF)" Matthews 10-13-1931 20.684462696783022
12 12 12 1 1952-06-23 BSN NA PIT "Bob Friend" "behind 2-3" "b 6" 1 --- 1 7 5 0.202 54% "Home Run (Deep RF)" Matthews 10-13-1931 20.69541409993155
13 13 13 1 1952-07-01 BSN NA NYG "Hal Gregg" "behind 0-5" "b 5" 1 --- 1 6 5 0.037 9% "Home Run (Deep RF)" Matthews 10-13-1931 20.71731690622861
14 14 14 1 1952-07-04 BSN NA PHI "Karl Drews" "tied 1-1" "b 11" 2 --- 1 5 5 0.468 100% "Home Run (Deep RF)" Matthews 10-13-1931 20.725530458590008
15 15 15 1 1952-07-20 BSN @ STL "Vinegar Bend Mizell" "behind 0-5" "t 5" 2 12- 3 3 5 0.136 19% "Home Run (Deep RF); Spahn Scores; Logan Scores" Matthews 10-13-1931 20.76933607118412
16 16 16 1 1952-07-24 BSN NA CHC "Turk Lown" "tied 0-0" "b 1" 2 --- 1 3 5 0.111 62% "Home Run (Deep RF)" Matthews 10-13-1931 20.78028747433265
17 17 17 1 1952-07-30 BSN NA STL "Joe Presko" "tied 0-0" "b 4" 1 1-- 2 3 5 0.225 79% "Home Run (Deep LF-CF); Logan Scores" Matthews 10-13-1931 20.79671457905544
18 18 18 1 1952-08-13 BSN @ PHI "Jim Konstanty" "ahead 8-1" "t 8" 0 --- 1 7 5 0.002 100% "Home Run (Deep LF)" Matthews 10-13-1931 20.83504449007529
19 19 19 1 1952-08-27 BSN @ CIN "Bubba Church" "tied 3-3" "t 3" 2 1-- 2 6 5 0.225 70% "Home Run (Deep RF); Gordon Scores/unER; Mathews Scores/unER" Matthews 10-13-1931 20.87337440109514
20 20 20 1 1952-09-03 BSN NA BRO "Preacher Roe" "ahead 1-0" "b 2" 1 --- 1 6 5 0.101 75% "Home Run (Deep RF)" Matthews 10-13-1931 20.892539356605067
21 21 21 1 1952-09-06 BSN @ PHI "Robin Roberts" "ahead 5-2" "t 8" 0 --- 1 5 5 0.032 97% "Home Run (Deep RF)" Matthews 10-13-1931 20.90075290896646
22 22 22 1 1952-09-14 BSN NA CHC "Johnny Klippstein" "tied 0-0" "b 9" 2 --- 1 3 5 0.468 100% "Home Run (Deep RF)" Matthews 10-13-1931 20.922655715263517
23 23 23 1 1952-09-27 BSN @ BRO "Joe Black" "ahead 2-1" "t 3" 2 -2- 2 3 5 0.18 78% "Home Run (Deep RF); Jester Scores" Matthews 10-13-1931 20.958247775496236
24 24 24 2 1952-09-27 BSN @ BRO "Ben Wade" "ahead 5-2" "t 6" 0 --- 1 3 5 0.053 93% "Home Run (CF-RF)" Matthews 10-13-1931 20.958247775496236
25 25 25 3 1952-09-27 BSN @ BRO "Ben Wade" "ahead 7-2" "t 8" 0 --- 1 3 5 0.008 99% "Home Run (Deep RF)" Matthews 10-13-1931 20.958247775496236
26 26 1 1 1953-04-17 MLN @ CIN "Howie Judson" "tied 0-0" "t 1" 1 1-- 2 3 5 0.162 66% "Home Run (Deep RF); Bruton Scores" Matthews 10-13-1931 21.51129363449692
27 27 2 1 1953-04-22 MLN @ CHC "Bob Rush" "behind 1-4" "t 3" 1 1-3 3 3 5 0.2 47% "Home Run; Bruton Scores/unER; Logan Scores" Matthews 10-13-1931 21.52498288843258
28 28 3 2 1953-04-22 MLN @ CHC "Johnny Klippstein" "ahead 8-4" "t 4" 1 -2- 2 3 5 0.065 94% "Home Run (Deep RF); Logan Scores/unER" Matthews 10-13-1931 21.52498288843258
29 29 4 1 1953-04-23 MLN @ CHC "Warren Hacker" "ahead 1-0" "t 4" 0 --- 1 3 5 0.103 72% "Home Run (CF-RF)" Matthews 10-13-1931 21.527720739219713
30 30 5 1 1953-04-25 MLN NA CIN "Herm Wehmeier" "tied 0-0" "b 1" 1 1-- 2 3 5 0.168 72% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.533196440793976
31 31 6 2 1953-04-25 MLN NA CIN "Herm Wehmeier" "ahead 2-0" "b 5" 1 1-- 2 3 5 0.112 93% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.533196440793976
32 32 7 1 1953-05-13 MLN NA NYG "Dave Koslo" "tied 0-0" "b 1" 2 --- 1 3 5 0.103 61% "Home Run (Deep RF)" Matthews 10-13-1931 21.582477754962355
33 33 8 1 1953-05-23 MLN @ CHC "Paul Minner" "behind 1-2" "t 5" 1 -2- 2 3 5 0.215 61% "Home Run (Deep RF); Bruton Scores" Matthews 10-13-1931 21.609856262833677
34 34 9 1 1953-05-25 MLN NA CIN "Harry Perkowski" "tied 0-0" "b 1" 0 12- 3 3 5 0.171 81% "Home Run; Bruton Scores; Logan Scores" Matthews 10-13-1931 21.61533196440794
35 35 10 2 1953-05-25 MLN NA CIN "Herm Wehmeier" "ahead 8-1" "b 4" 1 1-- 2 3 5 0.012 99% "Home Run; Logan Scores" Matthews 10-13-1931 21.61533196440794
36 36 11 1 1953-05-29 MLN @ STL "Gerry Staley" "behind 4-11" "t 7" 2 --- 1 3 5 0.005 1% "Home Run (Deep RF)" Matthews 10-13-1931 21.626283367556468
37 37 12 1 1953-05-30 MLN @ STL "Jack Faszholz" "ahead 3-2" "t 5" 0 1-- 2 3 5 0.159 83% "Home Run (Pop Fly); Logan Scores" Matthews 10-13-1931 21.6290212183436
38 38 13 1 1953-05-31 MLN @ CIN "Bubba Church" "tied 0-0" "t 1" 1 1-- 2 3 5 0.162 66% "Home Run; Logan Scores" Matthews 10-13-1931 21.631759069130737
39 39 14 1 1953-05-31 MLN @ CIN "Harry Perkowski" "tied 1-1" "t 4" 0 --- 1 3 5 0.119 62% "Home Run" Matthews 10-13-1931 21.631759069130737
40 40 15 1 1953-06-03 MLN @ BRO "Joe Black" "behind 4-7" "t 5" 1 1-- 2 3 5 0.16 34% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.639972621492127
41 41 16 1 1953-06-07 MLN @ PHI "Steve Ridzik" "ahead 3-0" "t 3" 2 --- 1 3 5 0.071 83% "Home Run (Deep RF)" Matthews 10-13-1931 21.650924024640656
42 42 17 1 1953-06-08 MLN @ NYG "Al Corwin" "ahead 10-2" "t 8" 2 1-- 2 3 5 0.002 100% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.65366187542779
43 43 18 1 1953-06-10 MLN @ NYG "Jim Hearn" "tied 0-0" "t 1" 2 --- 1 3 5 0.095 56% "Home Run (Deep RF)" Matthews 10-13-1931 21.659137577002053
44 44 19 1 1953-06-12 MLN @ PIT "Murry Dickson" "behind 1-2" "t 6" 1 --- 1 3 5 NA NA NA Matthews 10-13-1931 21.66461327857632
45 45 20 1 1953-06-16 MLN NA PHI "Steve Ridzik" "behind 0-5" "b 6" 2 1-- 2 3 5 NA NA NA Matthews 10-13-1931 21.675564681724847
46 46 21 1 1953-06-30 MLN @ CIN "Jackie Collum" "behind 1-4" "t 8" 1 1-- 2 3 5 0.127 21% "Home Run (CF-RF); Logan Scores" Matthews 10-13-1931 21.713894592744698
47 47 22 2 1953-06-30 MLN @ CIN "Jackie Collum" "tied 4-4" "t 10" 1 1-- 2 3 5 0.413 91% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.713894592744698
48 48 23 1 1953-07-01 MLN @ CIN "Joe Nuxhall" "ahead 3-0" "t 3" 1 1-- 2 3 5 0.104 89% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.71663244353183
49 49 24 1 1953-07-05 MLN NA STL "Gerry Staley" "ahead 2-0" "b 5" 2 1-- 2 3 5 0.126 92% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.727583846680357
50 50 25 1 1953-07-07 MLN NA CHC "Turk Lown" "tied 1-1" "b 6" 0 --- 1 3 5 0.166 74% "Home Run (Deep RF)" Matthews 10-13-1931 21.73305954825462
51 51 26 1 1953-07-10 MLN @ STL "Al Brazle" "ahead 2-1" "t 5" 1 1-- 2 3 5 0.182 82% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.741273100616016
52 52 27 1 1953-07-12 MLN @ STL "Gerry Staley" "ahead 2-0" "t 2" 1 123 4 3 5 0.152 92% "Home Run (Deep RF); Antonelli Scores; Bruton Scores; Logan Scores" Matthews 10-13-1931 21.74674880219028
53 53 28 1 1953-07-18 MLN @ PIT "Jim Waugh" "tied 0-0" "t 1" 2 --- 1 3 5 0.098 56% "Home Run (Deep RF)" Matthews 10-13-1931 21.763175906913073
54 54 29 1 1953-07-21 MLN @ PHI "Steve Ridzik" "ahead 6-3" "t 9" 2 --- 1 3 5 0.024 98% "Home Run (Deep RF)" Matthews 10-13-1931 21.77138945927447
55 55 30 1 1953-07-24 MLN @ BRO "Billy Loes" "ahead 3-0" "t 5" 1 1-- 2 3 5 0.097 92% "Home Run (Fly Ball to Deep RF); Logan Scores" Matthews 10-13-1931 21.779603011635867
56 56 31 1 1953-07-27 MLN NA NYG "Al Corwin" "ahead 5-0" "b 4" 1 123 4 3 5 0.029 99% "Home Run (Deep RF); Spahn Scores; Bruton Scores; Logan Scores" Matthews 10-13-1931 21.78781656399726
57 57 32 2 1953-07-27 MLN NA NYG "Monty Kennedy" "ahead 12-0" "b 8" 0 --- 1 3 5 0 100% "Home Run (Deep RF)" Matthews 10-13-1931 21.78781656399726
58 58 33 1 1953-08-01 MLN NA PHI "Karl Drews" "ahead 4-0" "b 8" 1 --- 1 3 5 0.008 99% "Home Run (Deep CF)" Matthews 10-13-1931 21.801505817932924
59 59 34 1 1953-08-06 MLN NA BRO "Billy Loes" "tied 0-0" "b 1" 2 --- 1 3 5 0.103 61% "Home Run (Line Drive to Deep CF)" Matthews 10-13-1931 21.815195071868583
60 60 35 1 1953-08-08 MLN NA PIT "Bob Hall" "ahead 3-2" "b 4" 2 -2- 2 3 5 0.172 84% "Home Run (Deep CF); Logan Scores" Matthews 10-13-1931 21.82067077344285
61 61 36 1 1953-08-09 MLN NA PIT "Paul LaPalme" "behind 2-4" "b 5" 2 --- 1 3 5 NA NA NA Matthews 10-13-1931 21.82340862422998
62 62 37 1 1953-08-14 MLN @ CHC "Warren Hacker" "tied 0-0" "t 1" 2 --- 1 3 5 0.096 56% "Home Run (Deep RF)" Matthews 10-13-1931 21.83709787816564
63 63 38 1 1953-08-18 MLN @ CIN "Bob Kelly" "ahead 6-1" "t 6" 2 -2- 2 3 5 0.035 98% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.848049281314168
64 64 39 1 1953-08-21 MLN NA CHC "Turk Lown" "ahead 4-1" "b 8" 1 --- 1 3 5 0.017 99% "Home Run (Deep RF)" Matthews 10-13-1931 21.856262833675565
65 65 40 1 1953-08-25 MLN @ PHI "Robin Roberts" "tied 0-0" "t 1" 2 --- 1 3 5 0.097 56% "Home Run (Deep RF)" Matthews 10-13-1931 21.867214236824093
66 66 41 1 1953-08-30 MLN @ PIT "Johnny Lindell" "ahead 1-0" "t 3" 2 --- 1 3 5 NA NA NA Matthews 10-13-1931 21.880903490759753
67 67 42 2 1953-08-30 MLN @ PIT "Roger Bowman" "ahead 16-3" "t 8" 1 1-3 3 3 5 NA NA NA Matthews 10-13-1931 21.880903490759753
68 68 43 1 1953-08-30 MLN @ PIT "Paul LaPalme" "behind 2-3" "t 3" 2 1-- 2 3 5 NA NA NA Matthews 10-13-1931 21.880903490759753
69 69 44 1 1953-09-03 MLN @ BRO "Carl Erskine" "tied 1-1" "t 8" 1 12- 3 3 5 0.347 91% "Home Run (Line Drive to Deep RF); Burdette Scores; Bruton Scores" Matthews 10-13-1931 21.89185489390828
70 70 45 1 1953-09-06 MLN NA STL "Joe Presko" "tied 0-0" "b 1" 2 --- 1 3 5 NA NA NA Matthews 10-13-1931 21.90006844626968
71 71 46 1 1953-09-16 MLN NA PIT "Roy Face" "tied 0-0" "b 1" 1 1-- 2 3 5 0.168 72% "Home Run (Deep RF); Logan Scores" Matthews 10-13-1931 21.927446954141
72 72 47 1 1953-09-22 MLN @ STL "Stu Miller" "tied 0-0" "t 3" 2 --- 1 3 5 0.114 57% "Home Run (CF-RF)" Matthews 10-13-1931 21.94387405886379
73 73 1 1 1954-04-13 MLN @ CIN "Joe Nuxhall" "behind 5-6" "t 6" 2 --- 1 3 5 0.163 44% "Home Run (Deep RF)" Matthews 10-13-1931 22.49965776865161
74 74 2 2 1954-04-13 MLN @ CIN "Joe Nuxhall" "behind 7-9" "t 8" 2 --- 1 3 5 0.086 16% "Home Run (Deep RF)" Matthews 10-13-1931 22.49965776865161
75 75 3 1 1954-04-21 MLN NA CHC "Johnny Klippstein" "behind 2-3" "b 5" 1 1-3 3 3 7 0.296 81% "Home Run (CF-RF); Spahn Scores; O'Connell Scores/unER" Matthews 10-13-1931 22.521560574948666
76 76 4 1 1954-04-25 MLN @ STL "Al Brazle" "behind 4-6" "t 9" 1 --3 2 3 5 0.343 44% "Home Run; O'Connell Scores" Matthews 10-13-1931 22.53251197809719
77 77 5 1 1954-05-05 MLN NA PIT "Jake Thies" "ahead 3-1" "b 7" 1 --- 1 3 5 0.057 94% "Home Run" Matthews 10-13-1931 22.559890485968516
78 78 6 1 1954-05-12 MLN @ BRO "Don Newcombe" "tied 0-0" "t 1" 2 --- 1 3 5 0.098 56% "Home Run (Deep RF)" Matthews 10-13-1931 22.57905544147844
79 79 7 1 1954-05-19 MLN @ PHI "Murry Dickson" "ahead 4-0" "t 7" 2 1-- 2 3 5 NA NA NA Matthews 10-13-1931 22.598220396988363
80 80 8 1 1954-05-22 MLN @ CHC "Warren Hacker" "tied 0-0" "t 1" 1 -2- 2 3 5 0.151 67% "Home Run (Deep LF); Bruton Scores" Matthews 10-13-1931 22.60643394934976
81 81 9 1 1954-06-02 MLN NA BRO "Bob Milliken" "tied 2-2" "b 4" 1 123 4 3 5 0.238 91% "Home Run (Deep RF); White Scores; Burdette Scores; Logan Scores" Matthews 10-13-1931 22.636550308008218
82 82 10 1 1954-06-06 MLN NA PIT "Jake Thies" "behind 0-3" "b 3" 1 123 4 3 5 0.318 65% "Home Run; White Scores; Bruton Scores; Logan Scores" Matthews 10-13-1931 22.647501711156742
83 83 11 1 1954-06-07 MLN NA NYG "Marv Grissom" "behind 1-3" "b 8" 0 --- 1 3 5 0.14 30% "Home Run (Deep RF)" Matthews 10-13-1931 22.650239561943874
