"Season"	"STATE"	"O_RUNS.ROI"	"N"
"314"	2003	"100 2"	"3"	193
"315"	2003	"100 2"	"4+"	106
"316"	2003	"101 0"	"0"	146
"317"	2003	"101 0"	"1"	432
"318"	2003	"101 0"	"2"	180
"319"	2003	"101 0"	"3"	133
"320"	2003	"101 0"	"4+"	163
"321"	2003	"101 1"	"0"	800
"322"	2003	"101 1"	"1"	807
"323"	2003	"101 1"	"2"	277
"324"	2003	"101 1"	"3"	218
"325"	2003	"101 1"	"4+"	157
"326"	2003	"101 2"	"0"	2131
"327"	2003	"101 2"	"1"	454
"328"	2003	"101 2"	"2"	172
"329"	2003	"101 2"	"3"	140
"330"	2003	"101 2"	"4+"	81
"331"	2003	"110 0"	"0"	976
"332"	2003	"110 0"	"1"	666
"333"	2003	"110 0"	"2"	409
"334"	2003	"110 0"	"3"	375
"335"	2003	"110 0"	"4+"	365
"336"	2003	"110 1"	"0"	2842
"337"	2003	"110 1"	"1"	826
"338"	2003	"110 1"	"2"	544
"339"	2003	"110 1"	"3"	444
"340"	2003	"110 1"	"4+"	285
"341"	2003	"110 2"	"0"	4857
"342"	2003	"110 2"	"1"	699
"343"	2003	"110 2"	"2"	359
"344"	2003	"110 2"	"3"	276
"345"	2003	"110 2"	"4+"	138
"346"	2003	"111 0"	"0"	82
"347"	2003	"111 0"	"1"	211
"348"	2003	"111 0"	"2"	145
"349"	2003	"111 0"	"3"	119
"350"	2003	"111 0"	"4+"	210
"351"	2003	"111 1"	"0"	610
"352"	2003	"111 1"	"1"	505
"353"	2003	"111 1"	"2"	275
"354"	2003	"111 1"	"3"	187
"355"	2003	"111 1"	"4+"	273
"356"	2003	"111 2"	"0"	1496
"357"	2003	"111 2"	"1"	227
"358"	2003	"111 2"	"2"	233
"359"	2003	"111 2"	"3"	135
"360"	2003	"111 2"	"4+"	157
"361"	2004	"000 0"	"0"	32298
"362"	2004	"000 0"	"1"	7024
"363"	2004	"000 0"	"2"	3281
"364"	2004	"000 0"	"3"	1578
"365"	2004	"000 0"	"4+"	1300
"366"	2004	"000 1"	"0"	26808
"367"	2004	"000 1"	"1"	3216
"368"	2004	"000 1"	"2"	1350
"369"	2004	"000 1"	"3"	564
"370"	2004	"000 1"	"4+"	363
"371"	2004	"000 2"	"0"	23668
"372"	2004	"000 2"	"1"	1283
"373"	2004	"000 2"	"2"	426
"374"	2004	"000 2"	"3"	168
"375"	2004	"000 2"	"4+"	60
"376"	2004	"001 0"	"0"	89
"377"	2004	"001 0"	"1"	271
"378"	2004	"001 0"	"2"	69
"379"	2004	"001 0"	"3"	36
"380"	2004	"001 0"	"4+"	43
"381"	2004	"001 1"	"0"	716
"382"	2004	"001 1"	"1"	947
"383"	2004	"001 1"	"2"	221
"384"	2004	"001 1"	"3"	97
"385"	2004	"001 1"	"4+"	67
"386"	2004	"001 2"	"0"	2276
"387"	2004	"001 2"	"1"	586
"388"	2004	"001 2"	"2"	145
"389"	2004	"001 2"	"3"	38
"390"	2004	"001 2"	"4+"	36
"391"	2004	"010 0"	"0"	1298
"392"	2004	"010 0"	"1"	1229
"393"	2004	"010 0"	"2"	533
"394"	2004	"010 0"	"3"	268
"395"	2004	"010 0"	"4+"	221
"396"	2004	"010 1"	"0"	3588
"397"	2004	"010 1"	"1"	1414
"398"	2004	"010 1"	"2"	599
"399"	2004	"010 1"	"3"	260
"400"	2004	"010 1"	"4+"	210
"401"	2004	"010 2"	"0"	5917
"402"	2004	"010 2"	"1"	1111
"403"	2004	"010 2"	"2"	355
"404"	2004	"010 2"	"3"	126
"405"	2004	"010 2"	"4+"	85
"406"	2004	"011 0"	"0"	74
"407"	2004	"011 0"	"1"	179
"408"	2004	"011 0"	"2"	223
"409"	2004	"011 0"	"3"	94
"410"	2004	"011 0"	"4+"	111
"411"	2004	"011 1"	"0"	538
"412"	2004	"011 1"	"1"	461
"413"	2004	"011 1"	"2"	404
"414"	2004	"011 1"	"3"	169
"415"	2004	"011 1"	"4+"	171
"416"	2004	"011 2"	"0"	1345
"417"	2004	"011 2"	"1"	120
"418"	2004	"011 2"	"2"	248
"419"	2004	"011 2"	"3"	107
"420"	2004	"011 2"	"4+"	53
"421"	2004	"100 0"	"0"	6477
"422"	2004	"100 0"	"1"	2046
"423"	2004	"100 0"	"2"	1475
"424"	2004	"100 0"	"3"	760
"425"	2004	"100 0"	"4+"	706
"426"	2004	"100 1"	"0"	9594
"427"	2004	"100 1"	"1"	1583
"428"	2004	"100 1"	"2"	1200
"429"	2004	"100 1"	"3"	512
"430"	2004	"100 1"	"4+"	392
"431"	2004	"100 2"	"0"	11554
"432"	2004	"100 2"	"1"	850
"433"	2004	"100 2"	"2"	632
"434"	2004	"100 2"	"3"	223
"435"	2004	"100 2"	"4+"	105
"436"	2004	"101 0"	"0"	162
"437"	2004	"101 0"	"1"	410
"438"	2004	"101 0"	"2"	186
"439"	2004	"101 0"	"3"	134
"440"	2004	"101 0"	"4+"	151
"441"	2004	"101 1"	"0"	803
"442"	2004	"101 1"	"1"	789
"443"	2004	"101 1"	"2"	289
"444"	2004	"101 1"	"3"	199
"445"	2004	"101 1"	"4+"	177
"446"	2004	"101 2"	"0"	2202
"447"	2004	"101 2"	"1"	451
"448"	2004	"101 2"	"2"	183
"449"	2004	"101 2"	"3"	140
"450"	2004	"101 2"	"4+"	91
"451"	2004	"110 0"	"0"	1026
"452"	2004	"110 0"	"1"	625
"453"	2004	"110 0"	"2"	415
"454"	2004	"110 0"	"3"	330
"455"	2004	"110 0"	"4+"	344
"456"	2004	"110 1"	"0"	2809
"457"	2004	"110 1"	"1"	783
"458"	2004	"110 1"	"2"	520
"459"	2004	"110 1"	"3"	448
"460"	2004	"110 1"	"4+"	342
"461"	2004	"110 2"	"0"	4916
"462"	2004	"110 2"	"1"	714
"463"	2004	"110 2"	"2"	375
"464"	2004	"110 2"	"3"	279
"465"	2004	"110 2"	"4+"	151
"466"	2004	"111 0"	"0"	116
"467"	2004	"111 0"	"1"	219
"468"	2004	"111 0"	"2"	160
"469"	2004	"111 0"	"3"	115
"470"	2004	"111 0"	"4+"	187
"471"	2004	"111 1"	"0"	628
"472"	2004	"111 1"	"1"	475
"473"	2004	"111 1"	"2"	304
"474"	2004	"111 1"	"3"	203
"475"	2004	"111 1"	"4+"	290
